Name,Category,Style,IBU,ABV,Brewery,Province,Country,Taste_Profile,Food_Pairing,Flavours,Link
Jamboree Fruited Sour,Ale,Sour Ale,,4.80%,2 Crows,Nova Scotia,Canada,Fruity and Smooth,"Thai Cuisine, Shellfish, Salads","Tropical, Orange, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1031383.aspx
Merida IPA,Ale,India Pale Ale,31,5.40%,2 Crows,Nova Scotia,Canada,Crisp and Hoppy,"Pork, Curry, Asian","Tropical, Stone Fruit, Lively",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033242.aspx
Pollyanna Wild Northeastern IPA,Ale,India Pale Ale,64,7.30%,2 Crows,Nova Scotia,Canada,Crisp and Hoppy,"Pork, Hard Cheeses, Curry","Tropical, Citrus, Bitter",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1025068.aspx
Refresh Lager,Lager,Light Lager,12,4.30%,2 Crows,Nova Scotia,Canada,Bright and Balanced,"Salmon, Chicken, Bratwurst","Lively, Grassy, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1033243.aspx
Cellar Reserve: Rubus Grigio Brett Saison,Ale,Saison,7,5.80%,Alexander Keith's,Nova Scotia,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Aperitif","Tangy, Raspberry, Blackberry",https://www.mynslc.com/en/products/Beer/Ale/Saison/1031367.aspx
7579 Hoppy Lager,Lager,Amber Lager,,6.00%,Alexander Keith's,Nova Scotia,Canada,Light and Refreshing,"Pub Fare, Nachos, Chicken Wings","Sweet, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Amber%20Lager/1030828.aspx
Argyle Brut IPA,Ale,India Pale Ale,,6.00%,Alexander Keith's,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Curry (Mild), Asian Noodles","Lively, Hoppy, Fresh Bread",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1031888.aspx
Barrel Aged Imperial IPA,Ale,Imperial India Pale Ale,,12.00%,Alexander Keith's,Nova Scotia,Canada,Crisp and Hoppy,"Hard Cheeses, Curry, Asian","Pine, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Imperial%20IPA/1033004.aspx
Blueberry Gin Aged Tripel,Ale,Belgian Strong Ale,15,6.90%,Alexander Keith's,Nova Scotia,Canada,Bold and Full Flavoured,"Venison, Game, Carbonade","Herb, Grain, Berry Fruit",https://www.mynslc.com/en/products/Beer/Ale/Belgian%20Strong%20Ale/1032083.aspx
Bourbon Lunenburg Stout,Ale,Speciality Stout,35,9.10%,Alexander Keith's,Nova Scotia,Canada,Bold and Full Flavoured,"Digestif, Dessert, Chocolate","Vanilla, Toasty, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Stout/1032372.aspx
Buckthorn Brett Saison,Ale,Saison,,,Alexander Keith's,Nova Scotia,Canada,Fruity and Smooth,"Shellfish, salads, Appetizers","Tangy, Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Saison/1031734.aspx
Cellar Reserve Peach Sour,Ale,Speciality Ale,,7.50%,Alexander Keith's,Nova Scotia,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Appetizers","Tangy, Stone Fruit, Peach",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1034028.aspx
Le Passage Gose,Ale,Sour Ale,,,Alexander Keith's,Nova Scotia,Canada,Light and Refreshing,"Salads, Fresh Cheeses, Aperitif","Salty, Herb, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1031057.aspx
Lunenburg Coffee and Cacao Stout,Ale,Stout,35,6.50%,Alexander Keith's,Nova Scotia,Canada,Bold and Full Flavoured,"Digestif, Dessert, Chocolate","Smooth, Coffee, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Stout/1030846.aspx
Raspberry Gose,Ale,Sour Ale,,3.60%,Alexander Keith's,Nova Scotia,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Aperitif","Tangy, Smooth, Raspberry",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1033741.aspx
Chipman's Sea Buckthorn Wit,Ale,Wit,,4.40%,Alexander Keith's,Nova Scotia,Canada,Fruity and Smooth,"Shellfish, Mussels, Appetizers","Fresh, Earthy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Wit/1032689.aspx
Ace Hill Pilsner,Lager,Pilsner,16,4.90%,Ace Hill,Ontario,Canada,Light and Refreshing,"White Fish, Chicken, Bratwurst","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1033327.aspx
Alpine Lager,Lager,Pale Lager,12,5.00%,Moosehead Breweries,New Brunswick,Canada,Bright and Balanced,"White Fish, Salads, Appetizers","Lively, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1007791.aspx
Ceasefire IPA,Ale,India Pale Ale,50,6.30%,Annapolis Brewing,Nova Scotia,Canada,Bright and Balanced,,"Creamy, Fruit, Smooth",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033600.aspx
Acadian Honey Brown,Ale,Brown Ale,19,5.70%,Annapolis Brewing,Nova Scotia,Canada,Robust and Malty,"Mild Cheeses, Appetizers, Antipasto","Toasty, Nutty, Honey",https://www.mynslc.com/en/products/Beer/Ale/Brown%20Ale/1030614.aspx
M.A.S.H Valley Pale Ale,Ale,Pale Ale,41,5.70%,Annapolis Brewing,Nova Scotia,Canada,Bright and Balanced,"Ploughman's Lunch, Fish and Chips, Calamari","Grassy, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033879.aspx
W and A Railway Rye IPA,Ale ,India Pale Ale,60,6.70%,Annapolis Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Roast Chicken, Cheese, Asian Noodles","Spice, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1030777.aspx
Box Cutter IPA,Ale ,India Pale Ale,45,6.90%,Bad Apple Brewhouse,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Cheese, Asian","Pine, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1029641.aspx
Mosaic DIPA,Ale,Double India Pale Ale,80,8.00%,Bad Apple Brewhouse,Nova Scotia,Canada,Crisp and Hoppy,"Moroccan, Korean, Curry","Tropical, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Double%20IPA/1034574.aspx
Stearman APA,Ale,Speciality Ale,,5.20%,Bad Apple Brewhouse,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Cheese, Asian Noodles","Fruit, Floral, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1030651.aspx
8.6 Red,Lager,Amber Lager,,7.90%,Royal Swinkels Family Brewers,,Netherlands,Bright and Balanced,"Tex Mex, Nachos, Appetizers","Sweet, Spicy, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Amber%20Lager/1005548.aspx
8.6 Strong Lager,Lager,Pale Lager,18,8.60%,Royal Swinkels Family Brewers,,Netherlands,Bright and Balanced,"Tex Mex, Nachos, Appetizers","Spicy, Grain, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001294.aspx
Bavaria Premium Lager,Lager,Pale Lager,18,5.00%,Royal Swinkels Family Brewers,,Netherlands,Bright and Balanced,"Seafood, Chicken, Appetizers","Lively, Grassy, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1009653.aspx
Belgian Moon,Ale,Wit,9,5.40%,Belgian Moon Brewing Co.,,USA,Fruity and Smooth,"Sushi, Mussels, Crab","Spice, Orange, Coriander",https://www.mynslc.com/en/products/Beer/Ale/Wit/1022731.aspx
